datetime,open,high,low,volume,SMA_12,SMA_26,RSI,close
12/25/2023 5:41,42959.87,42965.7,42957.51,6.94199,42930.92333,42943.84923,52.46218334,42957.51
12/25/2023 5:42,42957.51,42980,42957.51,8.92871,42934.63833,42944.62154,56.06428138,42979.99
12/25/2023 5:43,42979.99,42980,42979.99,2.02556,42936.67917,42945.22038,62.15963844,42980
12/25/2023 5:44,42980,42980,42977.99,11.00782,42939.5125,42945.96308,58.54500221,42978
12/25/2023 5:45,42978,42990,42977.99,10.77498,42944.54333,42946.895,57.02400266,42989.28
12/25/2023 5:46,42989.28,42989.29,42989.28,3.18419,42947.24167,42948.02115,59.89164628,42989.28
12/25/2023 5:47,42989.28,42990,42989.28,2.76297,42955.38583,42949.17462,64.2394294,42990
12/25/2023 5:48,42989.99,42990,42984,9.28861,42964.17167,42950.32923,58.866731,42989.98
12/25/2023 5:49,42989.99,43015.76,42989.98,13.41945,42975.06833,42952.55077,91.80716365,43015.76
12/25/2023 5:50,43015.76,43066.62,43008.48,27.67734,42986.41333,42957.10962,97.7047634,43066.62
12/25/2023 5:51,43066.62,43066.62,43045.14,21.5071,42995.20583,42960.34692,88.22692344,43046.18
12/25/2023 5:52,43046.19,43067.76,43046.18,16.07924,43003.2825,42963.68615,85.89371981,43056.79
12/25/2023 5:53,43056.79,43063.52,43056.78,4.57743,43012.11583,42968.28269,85.60992579,43063.51
12/25/2023 5:54,43063.51,43069.83,43063.51,12.28775,43019.6025,42973.12269,84.44862155,43069.83
12/25/2023 5:55,43069.83,43075,43069.82,12.60432,43027.09,42979.08269,85.71791937,43069.85
12/25/2023 5:56,43069.85,43069.85,43056.79,11.16057,43033.65667,42983.75154,75.97916526,43056.8
12/25/2023 5:57,43056.8,43067.24,43056.79,13.04755,43040.05083,42988.00154,77.38648666,43066.01
12/25/2023 5:58,43066,43066.01,43058.78,4.68552,43046.24417,42992.60154,77.18495935,43063.6
12/25/2023 5:59,43063.59,43063.6,43063.59,2.10474,43052.37667,42997.78154,75.41903263,43063.59
12/25/2023 6:00,43063.59,43064.12,43060,7.39978,43058.21167,43001.74692,73.61111111,43060
12/25/2023 6:01,43060,43060.01,43044.2,17.36889,43060.58333,43007.59115,66.44824657,43044.22
12/25/2023 6:02,43044.22,43044.22,43028.9,6.82405,43057.44083,43013.14346,60.80728444,43028.91
12/25/2023 6:03,43028.91,43035.79,43028.9,5.31222,43056.575,43018.94308,56.21239377,43035.79
12/25/2023 6:04,43035.78,43035.79,43035.78,7.80834,43054.82417,43022.99308,36.02754621,43035.78
12/25/2023 6:05,43035.79,43035.79,43014.92,21.06991,43052.11167,43026.46577,41.96748997,43030.96
12/25/2023 6:06,43030.95,43036.74,43011.1,10.70141,43047.21833,43028.43654,28.03423735,43011.11
12/25/2023 6:07,43011.11,43012,43011.1,5.9219,43042.39667,43030.53192,23.75178317,43011.99
12/25/2023 6:08,43011.99,43022,43011.99,6.74456,43039.49667,43032.14769,26.51477953,43022
12/25/2023 6:09,43021.99,43033.54,43021.99,9.73121,43036.79,43034.20654,33.97741309,43033.53
12/25/2023 6:10,43033.54,43033.95,43030.46,8.03899,43034.31833,43036.35808,38.64945382,43033.94
12/25/2023 6:11,43033.94,43035.69,43033.94,3.36458,43031.99333,43038.14308,33.74088374,43035.69
12/25/2023 6:12,43035.69,43035.69,43035.68,5.11695,43029.96667,43039.92769,34.63232056,43035.68
12/25/2023 6:13,43035.69,43090.3,43035.68,20.77705,43033.80583,43043.785,59.1790429,43090.29
12/25/2023 6:14,43090.29,43103.64,43090.29,32.655,43039.2525,43047.79615,61.74998286,43094.27
12/25/2023 6:15,43094.27,43116.38,43094.27,43.87574,43044.77,43051.11308,70.96821019,43102
12/25/2023 6:16,43102.01,43136,43102,18.07017,43053.12083,43053.78115,84.21960885,43135.99
12/25/2023 6:17,43135.99,43144.89,43135.99,13.30606,43061.99833,43057.29308,83.65766481,43137.49
12/25/2023 6:18,43137.49,43137.5,43107.8,14.99995,43070.05667,43059.25538,69.9253112,43107.81
12/25/2023 6:19,43107.81,43111.71,43107.8,7.37657,43078.36583,43061.10885,72.45022801,43111.7
12/25/2023 6:20,43111.7,43118.85,43111.7,11.00693,43086.43583,43062.99385,82.23325953,43118.84
12/25/2023 6:21,43118.84,43118.85,43110,7.21591,43092.80917,43064.53846,77.99611562,43110.01
12/25/2023 6:22,43110.01,43110.01,43107.8,7.52005,43098.965,43066.50038,75.65321375,43107.81
12/25/2023 6:23,43107.8,43107.81,43101.1,7.68179,43104.8825,43068.06538,73.32780718,43106.7
12/25/2023 6:24,43106.71,43106.71,43106.7,4.03962,43110.80167,43069.72346,73.25960494,43106.71
12/25/2023 6:25,43106.7,43106.74,43091.17,22.60754,43111.95667,43071.28346,71.76926991,43104.15
12/25/2023 6:26,43104.14,43106.7,43094.92,16.34412,43112.0125,43072.62731,67.80221101,43094.94
12/25/2023 6:27,43094.94,43118.85,43094.93,16.37673,43113.41667,43075.49769,60.52011198,43118.85
12/25/2023 6:28,43118.85,43120,43117.68,2.81833,43112.08417,43079.00115,59.67948236,43120
